TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
9.380861678,0.0476804,0.0277692,0.00505899,0.00197291,3.39069,0.00791574,0,0,0.389121,2.90606,0.0596039,1.14137
9.427301587,0.0668858,0.0511781,0.00480418,0.0569651,3.34068,0,0,0.00184304,0.269908,3.1338,0.0126102,1.16538
9.473741497,0.055534,0.123076,0.00498821,0.10066,3.32138,0,0.0375081,0,0.278786,3.21406,0.0687806,1.1716
9.520181406,0.0136686,0.239216,0.00493263,0.00904046,3.2693,0,0.220484,0,0.47934,3.25872,0.118859,1.1196
9.566621315,0.00179109,0.14279,0.00405503,0,3.52871,0,0.316199,0,0.46461,2.67397,0.139567,1.55642
9.613061224,0.148555,0.0146597,0.130351,0.114013,3.55095,0.297967,0.251861,0.0266236,0.260028,1.64727,0.941939,1.11787
9.659501134,0.170439,0.000998475,0.269102,0,3.29046,0.840737,0.236607,0.0557695,0.35637,1.24286,1.50574,0.928909
9.705941043,0.0436953,0.00283411,0.0568131,0.00786683,3.3031,0.682441,0.227108,0.109449,0.465906,0.59068,2.46863,0.36576
9.752380952,9.41282e-05,0.0217122,0.0295737,0.0200115,3.34522,0.428871,0.0670626,0.0478186,0.19366,0.407899,2.92086,0.197374
9.798820862,0.127429,0.0320123,0.266739,0.0504995,3.0842,0.74659,0.00519787,0.0342017,0.155811,0.643301,2.90177,0.286183
9.845260771,0.618135,0.0365294,0.977705,0.0827424,2.50778,1.28402,0.00839811,0.036382,0.123207,0.947607,2.65206,0.24447
9.891700680,0.423847,0.0487908,1.87455,0.0318919,1.54021,1.41322,0.0479566,0.0517311,0.0752043,1.04795,2.69155,0.16123
9.938140590,0,0.0658473,2.2613,0.00549785,0.851549,1.53409,0.0737063,0.0399669,0.167852,0.927201,2.77653,0.107854
