TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
84.241995465,-225.557,3.96665,-19.0804,6.45896,-9.18232,2.86735,-7.75561,1.17424,-6.52998,0.824642,-4.75067,3.67092,0.578622,-0.0129431,2.22862,4.73869,7.88651,8.49398,2.76063,-0.373637,-1.49263
84.265215420,-219.389,7.02596,-24.099,9.56962,-13.0701,-0.0368897,-6.66754,-2.76211,-4.28828,4.01221,-0.479877,1.1281,4.46749,-1.06041,1.51469,4.66883,9.40382,12.115,4.82561,-0.252314,-2.12835
84.288435374,-212.411,4.44676,-25.9576,7.34756,-15.8011,-1.86413,-5.67336,-2.58312,-3.93898,0.541257,0.570022,-1.39965,4.56863,1.22591,-0.322798,5.32407,9.55919,13.5521,5.72858,-0.550132,-1.69162
84.311655329,-212.493,3.67204,-23.0438,9.13222,-16.3558,0.49722,-2.50049,-0.646234,-4.27662,-2.73531,-1.97437,-1.19725,5.3086,0.815489,4.35957,6.66726,4.81414,7.32927,3.79582,0.392602,-0.982328
84.334875283,-218.304,0.79151,-24.3961,10.5642,-15.1348,-0.0217729,-2.72738,1.71395,-3.24065,-2.1405,-4.05194,-0.821792,6.13676,3.57031,6.44003,5.82804,5.28905,6.94034,3.39594,2.69779,2.27464
84.358095238,-219.591,9.75388,-19.7724,12.0201,-16.5197,-0.340188,-2.26834,0.76004,-4.26656,-2.18327,-2.51695,-0.908439,4.70314,3.33571,7.26459,5.12502,2.22024,4.29762,3.59168,-0.617912,-0.639547
84.381315193,-231.489,12.3304,-17.7784,10.1678,-16.8902,-2.89832,-3.22458,0.735708,-0.324687,-0.256313,-2.00878,-1.03412,3.01116,0.841999,4.01881,4.60709,3.66662,7.11049,3.70681,1.64559,2.49099
84.404535147,-235.761,-0.241607,-10.0112,1.65917,-12.1809,-3.6108,-5.028,-0.338663,-2.50559,0.621534,-1.85275,0.885376,-0.131085,3.82846,3.13268,5.27952,5.31731,7.78497,2.88597,-0.874084,0.855977
84.427755102,-243.999,-2.79814,-7.11452,-0.5867,-8.31842,2.68388,-1.03797,1.79432,-3.03962,-0.0852076,-0.903584,2.12305,3.17284,7.54721,5.89435,5.60468,2.89327,4.27387,1.14586,-0.264451,0.241912
84.450975057,-247.813,-1.42605,-7.47605,-0.295976,-8.18402,2.45553,0.425709,1.76226,-4.20023,0.268721,-1.96739,1.70917,4.26073,7.94987,6.24232,6.43249,5.14161,3.55846,-1.88989,-0.525541,-0.935682
